subject_id,session,task,label,label_name,epoch_index,sfreq,n_channels,n_times,img_channels,img_height,img_width,file_path,global_index
sub-02,ses-1,eyesopen,0,NS,0,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,60
sub-02,ses-1,eyesopen,0,NS,1,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,61
sub-02,ses-1,eyesopen,0,NS,2,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,62
sub-02,ses-1,eyesopen,0,NS,3,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,63
sub-02,ses-1,eyesopen,0,NS,4,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,64
sub-02,ses-1,eyesopen,0,NS,5,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,65
sub-02,ses-1,eyesopen,0,NS,6,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,66
sub-02,ses-1,eyesopen,0,NS,7,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,67
sub-02,ses-1,eyesopen,0,NS,8,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,68
sub-02,ses-1,eyesopen,0,NS,9,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,69
sub-02,ses-1,eyesopen,0,NS,10,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,70
sub-02,ses-1,eyesopen,0,NS,11,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,71
sub-02,ses-1,eyesopen,0,NS,12,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,72
sub-02,ses-1,eyesopen,0,NS,13,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,73
sub-02,ses-1,eyesopen,0,NS,14,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,74
sub-02,ses-1,eyesopen,0,NS,15,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,75
sub-02,ses-1,eyesopen,0,NS,16,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,76
sub-02,ses-1,eyesopen,0,NS,17,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,77
sub-02,ses-1,eyesopen,0,NS,18,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,78
sub-02,ses-1,eyesopen,0,NS,19,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,79
sub-02,ses-1,eyesopen,0,NS,20,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,80
sub-02,ses-1,eyesopen,0,NS,21,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,81
sub-02,ses-1,eyesopen,0,NS,22,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,82
sub-02,ses-1,eyesopen,0,NS,23,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,83
sub-02,ses-1,eyesopen,0,NS,24,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,84
sub-02,ses-1,eyesopen,0,NS,25,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,85
sub-02,ses-1,eyesopen,0,NS,26,250.0,61,1250,3,61,1250,data\sub-02\ses-1\eeg\sub-02_ses-1_task-eyesopen_eeg.set,86
